ticker,name,asset_type,category,sector,themes,recommendation_eligible,forecast_eligible,history_note
GEV,GE Vernova Inc.,stock,AI power energy and grid,Industrials,ai_power_demand|grid_infrastructure|power_generation|electrification,true,false,Independent trading history begins in 2024
ETN,Eaton Corporation plc,stock,AI power energy and grid,Industrials,ai_power_demand|electrical_equipment|data_centres,true,true,
PWR,"Quanta Services, Inc.",stock,AI power energy and grid,Industrials,grid_infrastructure|electrification|utility_infrastructure,true,true,
VRT,Vertiv Holdings Co,stock,AI power energy and grid,Industrials,ai_power_demand|data_centre_infrastructure|cooling|power_management,true,true,
NEE,"NextEra Energy, Inc.",stock,AI power energy and grid,Utilities,electricity_generation|renewable_energy|utilities,true,true,
FSLR,"First Solar, Inc.",stock,AI power energy and grid,Information Technology,solar_energy|renewable_energy|energy_transition,true,true,
XOM,Exxon Mobil Corporation,stock,AI power energy and grid,Energy,oil_and_gas|integrated_energy|traditional_energy,true,true,
CVX,Chevron Corporation,stock,AI power energy and grid,Energy,oil_and_gas|integrated_energy|traditional_energy,true,true,
NRG,"NRG Energy, Inc.",stock,AI power energy and grid,Utilities,ai_power_demand|electricity_generation|retail_energy,true,true,
CCJ,Cameco Corporation,stock,AI power energy and grid,Energy,nuclear_energy|uranium|ai_power_demand,true,true,US-listed Canadian company
JNJ,Johnson & Johnson,stock,Healthcare,Health Care,pharmaceuticals|medical_devices|defensive,true,true,
UNH,UnitedHealth Group Incorporated,stock,Healthcare,Health Care,health_insurance|health_services|managed_care,true,true,
PFE,Pfizer Inc.,stock,Healthcare,Health Care,pharmaceuticals|vaccines|defensive,true,true,
LLY,Eli Lilly and Company,stock,Healthcare,Health Care,pharmaceuticals|diabetes|obesity_treatment,true,true,
ABBV,AbbVie Inc.,stock,Healthcare,Health Care,pharmaceuticals|biotechnology|immunology,true,true,
MRK,"Merck & Co., Inc.",stock,Healthcare,Health Care,pharmaceuticals|oncology|vaccines,true,true,
TMO,Thermo Fisher Scientific Inc.,stock,Healthcare,Health Care,life_sciences|diagnostics|research_tools,true,true,
AMGN,Amgen Inc.,stock,Healthcare,Health Care,biotechnology|pharmaceuticals,true,true,
ISRG,"Intuitive Surgical, Inc.",stock,Healthcare,Health Care,medical_devices|robotic_surgery|healthcare_technology,true,true,
JPM,JPMorgan Chase & Co.,stock,Financial services,Financials,banking|investment_banking|payments,true,true,
BAC,Bank of America Corporation,stock,Financial services,Financials,banking|consumer_finance|investment_banking,true,true,
V,Visa Inc.,stock,Financial services,Financials,payments|fintech|consumer_spending,true,true,
MA,Mastercard Incorporated,stock,Financial services,Financials,payments|fintech|consumer_spending,true,true,
GS,"The Goldman Sachs Group, Inc.",stock,Financial services,Financials,investment_banking|asset_management|capital_markets,true,true,
AXP,American Express Company,stock,Financial services,Financials,payments|credit_cards|consumer_finance,true,true,
BLK,"BlackRock, Inc.",stock,Financial services,Financials,asset_management|etfs|financial_technology,true,true,
MS,Morgan Stanley,stock,Financial services,Financials,investment_banking|wealth_management|capital_markets,true,true,
AMZN,"Amazon.com, Inc.",stock,Consumer and retail,Consumer Discretionary,ecommerce|cloud_computing|consumer_spending,true,true,
TSLA,"Tesla, Inc.",stock,Consumer and retail,Consumer Discretionary,electric_vehicles|energy_storage|high_growth,true,true,
WMT,Walmart Inc.,stock,Consumer and retail,Consumer Staples,retail|consumer_staples|defensive,true,true,
COST,Costco Wholesale Corporation,stock,Consumer and retail,Consumer Staples,retail|consumer_staples|membership,true,true,
PG,The Procter & Gamble Company,stock,Consumer and retail,Consumer Staples,household_products|consumer_staples|defensive,true,true,
KO,The Coca-Cola Company,stock,Consumer and retail,Consumer Staples,beverages|consumer_staples|dividends,true,true,
HD,"The Home Depot, Inc.",stock,Consumer and retail,Consumer Discretionary,home_improvement|retail|housing_cycle,true,true,
MCD,McDonald's Corporation,stock,Consumer and retail,Consumer Discretionary,restaurants|franchising|consumer_spending,true,true,
NKE,"NIKE, Inc.",stock,Consumer and retail,Consumer Discretionary,apparel|consumer_brands|retail,true,true,
SBUX,Starbucks Corporation,stock,Consumer and retail,Consumer Discretionary,restaurants|consumer_brands|consumer_spending,true,true,
CAT,Caterpillar Inc.,stock,Industrials aerospace and transport,Industrials,construction_equipment|mining|infrastructure,true,true,
HON,Honeywell International Inc.,stock,Industrials aerospace and transport,Industrials,industrial_automation|aerospace|building_technology,true,true,
UNP,Union Pacific Corporation,stock,Industrials aerospace and transport,Industrials,rail_transport|freight|economic_activity,true,true,
UPS,"United Parcel Service, Inc.",stock,Industrials aerospace and transport,Industrials,logistics|delivery|economic_activity,true,true,
BA,The Boeing Company,stock,Industrials aerospace and transport,Industrials,commercial_aerospace|defence|manufacturing,true,true,
RTX,RTX Corporation,stock,Industrials aerospace and transport,Industrials,aerospace|defence|aviation,true,true,
DE,Deere & Company,stock,Industrials aerospace and transport,Industrials,agricultural_equipment|automation|manufacturing,true,true,
GOOGL,Alphabet Inc.,stock,Communication and media,Communication Services,digital_advertising|internet_services|artificial_intelligence,true,true,
META,"Meta Platforms, Inc.",stock,Communication and media,Communication Services,social_media|digital_advertising|artificial_intelligence,true,true,
NFLX,"Netflix, Inc.",stock,Communication and media,Communication Services,streaming|entertainment|subscriptions,true,true,
DIS,The Walt Disney Company,stock,Communication and media,Communication Services,entertainment|streaming|theme_parks,true,true,
TMUS,"T-Mobile US, Inc.",stock,Communication and media,Communication Services,telecommunications|wireless|subscriptions,true,true,
CMCSA,Comcast Corporation,stock,Communication and media,Communication Services,telecommunications|media|broadband,true,true,
VZ,Verizon Communications Inc.,stock,Communication and media,Communication Services,telecommunications|wireless|dividends,true,true,
LIN,Linde plc,stock,Materials,Materials,industrial_gases|manufacturing_inputs|defensive,true,true,
FCX,Freeport-McMoRan Inc.,stock,Materials,Materials,copper|mining|electrification,true,true,
NUE,Nucor Corporation,stock,Materials,Materials,steel|manufacturing|infrastructure,true,true,
ECL,Ecolab Inc.,stock,Materials,Materials,water_technology|industrial_services|sustainability,true,true,
APD,"Air Products and Chemicals, Inc.",stock,Materials,Materials,industrial_gases|hydrogen|manufacturing_inputs,true,true,
SPY,SPDR S&P 500 ETF Trust,etf,Broad market ETF,Diversified,broad_market|market_context|large_cap,true,true,
AIQ,Global X Artificial Intelligence & Technology ETF,etf,AI thematic ETF,Diversified,artificial_intelligence|technology|thematic,true,true,
SOXX,iShares Semiconductor ETF,etf,Semiconductor ETF,Information Technology,semiconductors|artificial_intelligence|hardware,true,true,
IGV,iShares Expanded Tech-Software Sector ETF,etf,Software ETF,Information Technology,enterprise_software|cloud_computing|digital_media,true,true,
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,etf,Grid infrastructure ETF,Industrials,grid_infrastructure|electrification|renewable_energy,true,true,
XLV,Health Care Select Sector SPDR Fund,etf,Healthcare ETF,Health Care,healthcare|sector_etf|diversification,true,true,
XLF,Financial Select Sector SPDR Fund,etf,Financial ETF,Financials,financials|sector_etf|diversification,true,true,
XLY,Consumer Discretionary Select Sector SPDR Fund,etf,Consumer discretionary ETF,Consumer Discretionary,consumer_discretionary|sector_etf|diversification,true,true,
XLI,Industrial Select Sector SPDR Fund,etf,Industrial ETF,Industrials,industrials|sector_etf|diversification,true,true,
XLE,Energy Select Sector SPDR Fund,etf,Energy ETF,Energy,energy|sector_etf|diversification,true,true,
^VIX,CBOE Volatility Index,index,Market context,Market Context,market_volatility|risk_context,false,false,Context feature only; never recommend
